INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-035633,2021-06-20 19:35:00,2021-06-20 19:35:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3900 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216.0
80-21-035586,2021-06-20 14:54:00,2021-06-20 14:54:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DATE ST / DR W J HODGE ST                                   ,LOUISVILLE,40210.0
80-21-035496,2021-06-20 02:51:00,2021-06-20 02:51:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,323,OTHER / UNKNOWN                              ,7100 BLOCK YORKTOWN TER                                     ,LOUISVILLE,40214.0
80-21-035174,2021-06-18 17:45:00,2021-06-18 17:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,6800 BLOCK SHIBLEY AVE                                      ,LOUISVILLE,40291.0
80-21-035157,2021-06-18 16:06:00,2021-06-18 16:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,S 40TH ST / GRAND AVE                                       ,LOUISVILLE,40211.0
80-21-034970,2021-06-17 11:54:00,2021-06-17 08:30:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1500 BLOCK S 31ST ST                                        ,LOUISVILLE,40211.0
80-21-034779,2021-06-17 01:41:00,2021-06-17 01:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,PARKING LOT / GARAGE                         ,1100 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204.0
80-21-034493,2021-06-15 20:34:00,2021-06-15 20:34:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,7900 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214.0
80-21-034070,2021-06-14 07:43:00,2021-06-14 07:43:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO)            ,1300 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208.0
80-21-033959,2021-06-13 16:36:00,2021-06-13 16:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK DENMARK ST                                        ,LOUISVILLE,40215.0
80-21-033829,2021-06-13 00:02:00,2021-06-13 00:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5200 BLOCK ROBINWOOD RD                                     ,LOUISVILLE,40218.0
80-21-033722,2021-06-12 13:44:00,2021-06-12 13:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1200 BLOCK W HILL ST                                        ,LOUISVILLE,40210.0
80-21-033619,2021-06-11 20:37:00,2021-06-11 20:37:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4200 BLOCK GRAND AVE                                        ,LOUISVILLE,40211.0
80-21-033139,2021-06-09 21:41:00,2021-06-09 21:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,400 BLOCK W SOUTHSIDE CT                                    ,LOUISVILLE,40214.0
80-21-032894,2021-06-08 22:36:00,2021-06-08 22:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,800 BLOCK S 24TH ST                                         ,LOUISVILLE,40211.0
80-21-032606,2021-06-07 18:02:00,2021-06-07 18:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,PARK / PLAYGROUND                            ,500 BLOCK CALDWELL ST                                       ,LOUISVILLE,40203.0
80-21-032507,2021-06-07 11:45:00,2021-06-07 11:45:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,LIQUOR STORE                                 ,3200 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215.0
80-21-032270,2021-06-06 04:06:00,2021-06-06 04:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,2100 BLOCK BUECHEL BANK RD                                  ,LOUISVILLE,40218.0
80-21-032249,2021-06-06 01:26:00,2021-06-06 01:26:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211.0
80-21-031951,2021-06-04 17:36:00,2021-06-04 17:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4100 BLOCK W BROADWAY                                       ,LOUISVILLE,40211.0
80-21-031770,2021-06-04 04:00:00,2021-06-04 03:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,4300 BLOCK OLD PARK BLVD                                    ,LOUISVILLE,40209.0
80-21-031285,2021-06-01 20:59:00,2021-06-01 20:59:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HOTEL / MOTEL / ETC.                         ,2900 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213.0
80-21-031602,2021-05-30 03:18:00,2021-05-30 03:18:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,BAR / NIGHT CLUB                             ,3500 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216.0
80-21-030739,2021-05-30 03:18:00,2021-05-30 03:18:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,BAR / NIGHT CLUB                             ,3500 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216.0
80-21-030177,2021-05-27 13:02:00,2021-05-27 13:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,OTHER RESIDENCE (APARTMENT/CONDO)            ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210.0
80-21-030178,2021-05-27 12:45:00,2021-05-27 12:45:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,CENTRAL AVE / MONTANA AVE                                   ,LOUISVILLE,40208.0
80-21-030046,2021-05-26 21:01:00,2021-05-26 21:01:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK BELLEVUE AVE                                     ,LOUISVILLE,40215.0
80-21-029811,2021-05-26 00:00:00,2021-05-26 00:00:00,HOMICIDE,MANSLAUGHTER-1ST DEGREE,09A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / ST ANDREWS CHURCH RD                            ,LOUISVILLE,40258.0
80-21-029746,2021-05-25 18:04:00,2021-05-25 18:04:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,1100 BLOCK S 41ST ST                                        ,LOUISVILLE,40211.0
80-21-029505,2021-05-24 18:38:00,2021-05-24 18:38:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,2300 BLOCK TERRIER CT                                       ,LOUISVILLE,40218.0
80-21-029491,2021-05-24 18:27:00,2021-05-24 18:26:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,234,PARKING LOT / GARAGE                         ,3000 BLOCK WILSON AVE                                       ,LOUISVILLE,40211.0
80-21-029297,2021-05-24 01:46:00,2021-05-24 01:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,HIGHWAY / ROAD / ALLEY                       ,5000 BLOCK YEW LN                                           ,LOUISVILLE,40213.0
80-21-027801,2021-05-17 14:55:00,2021-05-17 14:55:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,PARKING LOT / GARAGE                         ,3300 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218.0
80-21-027764,2021-05-17 11:34:00,2021-05-17 11:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,100 BLOCK COLONIAL OAKS CT                                  ,LOUISVILLE,40214.0
80-21-027671,2021-05-16 20:40:00,2021-05-16 20:40:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,S 8TH ST / W KENTUCKY ST                                    ,LOUISVILLE,40203.0
80-21-027567,2021-05-16 08:37:00,2021-05-15 20:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,611,PARKING LOT / GARAGE                         ,3300 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213.0
80-21-027072,2021-05-13 18:00:00,2021-05-13 17:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,MONTANA AVE / WELLER AVE                                    ,LOUISVILLE,40208.0
80-21-027050,2021-05-13 16:25:00,2021-05-13 14:47:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,6700 BLOCK WHIPPANY CT                                      ,LOUISVILLE,40258.0
80-21-026865,2021-05-12 18:53:00,2021-05-12 18:53:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4100 BLOCK GRAND AVE                                        ,LOUISVILLE,40211.0
80-21-026470,2021-05-10 23:49:00,2021-05-10 23:49:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,PARKING LOT / GARAGE                         ,3300 BLOCK RED ROOF INN PL                                  ,WATTERSON_PARK,40218.0
80-21-026258,2021-05-10 05:49:00,2021-05-10 05:49:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK EASTERN PKY                                       ,LOUISVILLE,40217.0
80-21-024688,2021-05-02 18:15:00,2021-05-02 18:15:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3200 BLOCK UTAH AVE                                         ,LOUISVILLE,40215.0
80-21-024321,2021-05-01 01:13:00,2021-05-01 01:13:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,134,BAR / NIGHT CLUB                             ,1300 BLOCK RIVER RD                                         ,LOUISVILLE,40206.0
80-21-023650,2021-04-28 03:22:00,2021-04-28 03:22:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,2200 BLOCK HOWARD ST                                        ,LOUISVILLE,40211.0
80-21-023491,2021-04-27 12:24:00,2021-04-27 12:24:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,4900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40216.0
80-21-023062,2021-04-25 11:56:00,2021-04-25 11:56:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1800 BLOCK WENATCHEE PL                                     ,LOUISVILLE,40210.0
80-21-022203,2021-04-20 20:43:00,2021-04-20 20:43:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1200 BLOCK ALGONQUIN PKY                                    ,LOUISVILLE,40208.0
80-21-021434,2021-04-17 05:06:00,2021-04-17 05:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,GREENBELT HWY / LOWER HUNTERS TRCE                          ,LOUISVILLE,40258.0
80-21-020914,2021-04-14 15:43:00,2021-04-14 15:43:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,HIGHWAY / ROAD / ALLEY                       ,4500 BLOCK TRUMPET WAY                                      ,LOUISVILLE,40216.0
80-21-020546,2021-04-13 01:31:00,2021-04-13 01:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,OTHER RESIDENCE (APARTMENT/CONDO)            ,1100 BLOCK S 17TH ST                                        ,LOUISVILLE,40210.0
80-21-018884,2021-04-05 14:30:00,2021-04-05 14:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 22ND ST                                         ,LOUISVILLE,40211.0
80-21-018659,2021-04-04 19:41:00,2021-04-04 17:57:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,DR W J HODGE ST / W MADISON ST                              ,LOUISVILLE,40203.0
80-21-018385,2021-04-03 00:18:00,2021-04-02 19:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211.0
80-21-018350,2021-04-02 21:11:00,2021-04-02 21:11:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,OUTER LOOP / PRESTON HWY                                    ,LOUISVILLE,40219.0
80-21-017974,2021-03-31 23:07:00,2021-03-31 23:07:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK N 21ST ST                                         ,LOUISVILLE,40203.0
80-21-016180,2021-03-23 22:54:00,2021-03-23 22:54:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4400 BLOCK W MARKET ST                                      ,LOUISVILLE,40212.0
80-21-015730,2021-03-21 22:58:00,2021-03-21 22:58:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK MONTANA AVE                                       ,LOUISVILLE,40208.0
80-21-015635,2021-03-21 12:19:00,2021-03-21 12:19:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,400 BLOCK S 26TH ST                                         ,LOUISVILLE,40212.0
80-21-015583,2021-03-21 02:58:00,2021-03-21 02:58:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,2500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211.0
80-21-014723,2021-03-16 18:30:00,2021-03-16 18:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 12TH ST / W HILL ST                                       ,LOUISVILLE,40210.0
80-21-014370,2021-03-15 05:33:00,2021-03-15 04:26:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,100 BLOCK W JEFFERSON ST                                    ,LOUISVILLE,40202.0
80-21-013996,2021-03-12 21:08:00,2021-03-12 21:08:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,700 BLOCK M ST                                              ,LOUISVILLE,40208.0
80-21-012877,2021-03-08 01:28:00,2021-03-08 01:28:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,600 BLOCK S 26TH ST                                         ,LOUISVILLE,40211.0
80-21-012864,2021-03-07 21:53:00,2021-03-07 21:53:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,OTHER / UNKNOWN                              ,4100 BLOCK W BROADWAY                                       ,LOUISVILLE,40211.0
80-21-012863,2021-03-07 21:40:00,2021-03-07 21:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN                              ,900 BLOCK ESQUIRE ALY                                       ,LOUISVILLE,40203.0
80-21-012860,2021-03-07 20:39:00,2021-03-07 20:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1700 BLOCK HARROD CT                                        ,LOUISVILLE,40210.0
80-21-011664,2021-03-01 18:32:00,2021-03-01 16:27:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / FURY WAY                                        ,LOUISVILLE,40258.0
80-21-011361,2021-02-28 12:16:00,2021-02-28 12:16:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 18TH ST / W MADISON ST                                    ,LOUISVILLE,40203.0
80-21-010902,2021-02-26 00:14:00,2021-02-26 00:14:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 19TH ST / W CHESTNUT ST                                   ,LOUISVILLE,40203.0
80-21-010499,2021-02-23 22:37:00,2021-02-23 22:37:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4000 BLOCK W MARKET ST                                      ,LOUISVILLE,40212.0
80-21-010472,2021-02-23 19:46:00,2021-02-23 19:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK E BRECKINRIDGE ST                                 ,LOUISVILLE,40203.0
80-21-009581,2021-02-19 00:39:00,2021-02-19 00:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3700 BLOCK E WHEATMORE DR                                   ,LOUISVILLE,40215.0
80-21-009144,2021-02-16 18:52:00,2021-02-16 18:52:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4600 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214.0
80-21-008547,2021-02-12 21:21:00,2021-02-12 21:21:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,E PAGES LN / STANDING OAK DR                                ,LOUISVILLE,40272.0
80-21-007616,2021-02-08 08:05:00,2021-02-07 05:24:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219.0
80-21-007232,2021-02-05 19:30:00,2021-02-05 19:10:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2300 BLOCK W MADISON ST                                     ,LOUISVILLE,40211.0
80-21-006605,2021-02-02 18:00:00,2021-02-02 17:50:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,HIGHWAY / ROAD / ALLEY                       ,S 40TH ST / BELLS LN                                        ,LOUISVILLE,40211.0
80-21-006532,2021-02-02 13:01:00,2021-02-02 13:01:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,3500 BLOCK VIRGINIA AVE                                     ,LOUISVILLE,40211.0
80-21-006074,2021-01-31 05:14:00,2021-01-31 05:14:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,712,HIGHWAY / ROAD / ALLEY                       ,15 I265N                                                    ,LOUISVILLE,40228.0
80-21-006073,2021-01-31 04:23:00,2021-01-31 04:23:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HOTEL / MOTEL / ETC.                         ,2900 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213.0
80-21-005678,2021-01-28 21:36:00,2021-01-28 21:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY                       ,BUECHEL BYP / HIKES LN                                      ,LOUISVILLE,40218.0
80-21-004284,2021-01-21 20:48:00,2021-01-21 20:48:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,600 BLOCK S 41ST ST                                         ,LOUISVILLE,40211.0
80-21-003928,2021-01-20 10:39:00,2020-12-30 22:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,3400 BLOCK VETTER AVE                                       ,LOUISVILLE,40215.0
80-21-003872,2021-01-19 22:39:00,2021-01-19 22:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK W FLORENCE AVE                                    ,LOUISVILLE,40215.0
80-21-002890,2021-01-15 00:01:00,2021-01-15 00:01:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,15100 BLOCK OLD TAYLORSVILLE RD                             ,LOUISVILLE,40023.0
80-21-002026,2021-01-10 22:57:00,2021-01-10 22:57:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,OTHER / UNKNOWN                              ,1800 BLOCK DUMESNIL ST                                      ,LOUISVILLE,40210.0
80-21-001894,2021-01-10 03:58:00,2021-01-10 03:58:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,5000 BLOCK MARGO AVE                                        ,LOUISVILLE,40258.0
80-21-001890,2021-01-10 02:46:00,2021-01-10 02:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,BAR / NIGHT CLUB                             ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211.0
80-21-001437,2021-01-07 17:44:00,2021-01-07 17:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,OTHER RESIDENCE (APARTMENT/CONDO)            ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212.0
80-21-001436,2021-01-07 17:29:00,2021-01-07 17:29:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3200 BLOCK LARKWOOD AVE                                     ,LOUISVILLE,40212.0
80-21-000543,2021-01-04 02:39:00,2021-01-04 02:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN                              ,COMMUNITY AT LARGE,LOUISVILLE,
80-21-000059,2021-01-01 07:00:00,2021-01-01 07:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,624,PARKING LOT / GARAGE                         ,6200 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40228.0
